report_date,order_id,customer_id,product,category,quantity,price,region
2024-03-01,1001,C001,Laptop,Electronics,1.2,1320.0,North
2024-03-01,1002,C002,Mouse,Electronics,2.4,28.05,South
2024-03-01,1003,C001,Keyboard,Electronics,1.2,82.5,North
2024-03-01,1004,C003,Monitor,Electronics,2.4,385.0,East
2024-03-01,1005,C004,Desk,Furniture,1.2,495.0,West
2024-03-01,1006,C002,Chair,Furniture,2.4,220.0,South
2024-03-01,1007,C005,Laptop,Electronics,1.2,1485.0,North
2024-03-01,1008,C003,Mouse,Electronics,3.6,28.05,East
2024-03-01,1009,C006,Desk,Furniture,1.2,522.5,West
2024-03-01,1010,C004,Monitor,Electronics,1.2,418.0,West
2024-03-01,1011,C007,Laptop,Electronics,2.4,1320.0,South
2024-03-01,1012,C005,Chair,Furniture,4.8,220.0,North
2024-03-01,1013,C008,Keyboard,Electronics,2.4,82.5,East
2024-03-01,1014,C006,Mouse,Electronics,1.2,30.8,West
2024-03-01,1015,C009,Desk,Furniture,1.2,495.0,North
2024-03-01,1016,C010,Monitor,Electronics,3.6,385.0,South
2024-03-01,1017,C007,Laptop,Electronics,1.2,1540.0,South
2024-03-01,1018,C008,Chair,Furniture,2.4,247.5,East
2024-03-01,1019,C009,Keyboard,Electronics,1.2,88.0,North
2024-03-01,1020,C010,Mouse,Electronics,2.4,28.05,South
