report_date,order_id,customer_id,product,category,quantity,price,region
2024-02-01,1001,C001,Laptop,Electronics,1.1,1260.0,North
2024-02-01,1002,C002,Mouse,Electronics,2.2,26.78,South
2024-02-01,1003,C001,Keyboard,Electronics,1.1,78.75,North
2024-02-01,1004,C003,Monitor,Electronics,2.2,367.5,East
2024-02-01,1005,C004,Desk,Furniture,1.1,472.5,West
2024-02-01,1006,C002,Chair,Furniture,2.2,210.0,South
2024-02-01,1007,C005,Laptop,Electronics,1.1,1417.5,North
2024-02-01,1008,C003,Mouse,Electronics,3.3,26.78,East
2024-02-01,1009,C006,Desk,Furniture,1.1,498.75,West
2024-02-01,1010,C004,Monitor,Electronics,1.1,399.0,West
2024-02-01,1011,C007,Laptop,Electronics,2.2,1260.0,South
2024-02-01,1012,C005,Chair,Furniture,4.4,210.0,North
2024-02-01,1013,C008,Keyboard,Electronics,2.2,78.75,East
2024-02-01,1014,C006,Mouse,Electronics,1.1,29.4,West
2024-02-01,1015,C009,Desk,Furniture,1.1,472.5,North
2024-02-01,1016,C010,Monitor,Electronics,3.3,367.5,South
2024-02-01,1017,C007,Laptop,Electronics,1.1,1470.0,South
2024-02-01,1018,C008,Chair,Furniture,2.2,236.25,East
2024-02-01,1019,C009,Keyboard,Electronics,1.1,84.0,North
2024-02-01,1020,C010,Mouse,Electronics,2.2,26.78,South
